path	face_index	family	subfamily	full	postscript	typo_family	typo_subfamily	version_name	font_revision	weight	width	italic	axes	glyphs	arabic	arabic_supp_exta	persian	arabic_pf	latin_ext	greek	cyrillic	gsub_features	gpos_features	format	outlines	bytes	dataless	designer	manufacturer	vendor_id	license_url	error
/Library/Fonts/SF-Arabic-Rounded.ttf	0	SF Arabic Rounded	Regular	SF Arabic Rounded	SFArabicRounded-Regular	SF Arabic Rounded		Version 20.0d1e1	2.000	400	5	0	wght[1..400..1000];opsz[17..28..80]	1693	255	113	pe,che,zhe,keheh,gaf,farsi-yeh	329	0	0	0	dlig,calt,tnum,pnum,init,medi,fina,rlig,frac,sups,subs,case,aalt,locl,numr,dnom,ccmp,ss01,ss02,ss03,ss06,cv01,cv02,cv03	kern,mark,mkmk	ttf	glyf	879964	no	Apple Inc.	Apple Inc.	APPL	http://www.apple.com/	
/Library/Fonts/SF-Arabic.ttf	0	SF Arabic	Regular	SF Arabic	SFArabic-Regular	SF Arabic		Version 20.0d1e2	2.000	400	5	0	wght[1..400..1000];opsz[17..28..80]	1720	255	113	pe,che,zhe,keheh,gaf,farsi-yeh	329	0	0	0	dlig,calt,tnum,pnum,init,medi,fina,rlig,frac,sups,subs,case,aalt,locl,numr,dnom,ccmp,ss01,ss02,ss03,ss04,ss06,cv01,cv02,cv03	kern,mark,mkmk	ttf	glyf	856320	no	Apple Inc.	Apple Inc.	APPL	http://www.apple.com/	
/Library/Fonts/SF-Compact-Display-Black.otf	0	SF Compact Display	Black	SF Compact Display Black	SFCompactDisplay-Black	SF Compact Display	Black	Version 22.0d4e4	1.000	900	5	0		35135	0	0		0	227	73	220	liga,calt,smcp,c2sc,tnum,pnum,frac,sups,subs,case,locl,numr,dnom,ss01,ss02,ss03,ss05,ss06,ss07,ss12,ss13,ss14,ss15,ss16,ss17,cv01,cv02,cv03	kern	otf	CFF	6173856	no	Apple Inc.	Apple Inc.	APPL		
/Library/Fonts/SF-Compact-Display-Bold.otf	0	SF Compact Display	Bold	SF Compact Display Bold	SFCompactDisplay-Bold	SF Compact Display	Bold	Version 22.0d4e4	1.000	700	5	0		35135	0	0		0	227	73	220	liga,calt,smcp,c2sc,tnum,pnum,frac,sups,subs,case,locl,numr,dnom,ss01,ss02,ss03,ss05,ss06,ss07,ss12,ss13,ss14,ss15,ss16,ss17,cv01,cv02,cv03	kern	otf	CFF	6343172	no	Apple Inc.	Apple Inc.	APPL		
/Library/Fonts/SF-Compact-Display-Heavy.otf	0	SF Compact Display	Heavy	SF Compact Display Heavy	SFCompactDisplay-Heavy	SF Compact Display	Heavy	Version 22.0d4e4	1.000	900	5	0		35135	0	0		0	227	73	220	liga,calt,smcp,c2sc,tnum,pnum,frac,sups,subs,case,locl,numr,dnom,ss01,ss02,ss03,ss05,ss06,ss07,ss12,ss13,ss14,ss15,ss16,ss17,cv01,cv02,cv03	kern	otf	CFF	6290376	no	Apple Inc.	Apple Inc.	APPL		
/Library/Fonts/SF-Compact-Display-Light.otf	0	SF Compact Display	Light	SF Compact Display Light	SFCompactDisplay-Light	SF Compact Display	Light	Version 22.0d4e4	1.000	300	5	0		35135	0	0		0	227	73	220	liga,calt,smcp,c2sc,tnum,pnum,frac,sups,subs,case,locl,numr,dnom,ss01,ss02,ss03,ss05,ss06,ss07,ss12,ss13,ss14,ss15,ss16,ss17,cv01,cv02,cv03	kern	otf	CFF	6311216	no	Apple Inc.	Apple Inc.	APPL		
/Library/Fonts/SF-Compact-Display-Medium.otf	0	SF Compact Display	Medium	SF Compact Display Medium	SFCompactDisplay-Medium	SF Compact Display	Medium	Version 22.0d4e4	1.000	500	5	0		35135	0	0		0	227	73	220	liga,calt,smcp,c2sc,tnum,pnum,frac,sups,subs,case,locl,numr,dnom,ss01,ss02,ss03,ss05,ss06,ss07,ss12,ss13,ss14,ss15,ss16,ss17,cv01,cv02,cv03	kern	otf	CFF	6337696	no	Apple Inc.	Apple Inc.	APPL		
/Library/Fonts/SF-Compact-Display-Regular.otf	0	SF Compact Display	Regular	SF Compact Display Regular	SFCompactDisplay-Regular	SF Compact Display	Regular	Version 22.0d4e4	1.000	400	5	0		35135	0	0		0	227	73	220	liga,calt,smcp,c2sc,tnum,pnum,frac,sups,subs,case,locl,numr,dnom,ss01,ss02,ss03,ss05,ss06,ss07,ss12,ss13,ss14,ss15,ss16,ss17,cv01,cv02,cv03	kern	otf	CFF	6283576	no	Apple Inc.	Apple Inc.	APPL		
/Library/Fonts/SF-Compact-Display-Semibold.otf	0	SF Compact Display	Semibold	SF Compact Display Semibold	SFCompactDisplay-Semibold	SF Compact Display	Semibold	Version 22.0d4e4	1.000	600	5	0		35135	0	0		0	227	73	220	liga,calt,smcp,c2sc,tnum,pnum,frac,sups,subs,case,locl,numr,dnom,ss01,ss02,ss03,ss05,ss06,ss07,ss12,ss13,ss14,ss15,ss16,ss17,cv01,cv02,cv03	kern	otf	CFF	6347868	no	Apple Inc.	Apple Inc.	APPL		
/Library/Fonts/SF-Compact-Display-Thin.otf	0	SF Compact Display	Thin	SF Compact Display Thin	SFCompactDisplay-Thin	SF Compact Display	Thin	Version 22.0d4e4	1.000	300	5	0		35135	0	0		0	227	73	220	liga,calt,smcp,c2sc,tnum,pnum,frac,sups,subs,case,locl,numr,dnom,ss01,ss02,ss03,ss05,ss06,ss07,ss12,ss13,ss14,ss15,ss16,ss17,cv01,cv02,cv03	kern	otf	CFF	6274072	no	Apple Inc.	Apple Inc.	APPL		
/Library/Fonts/SF-Compact-Display-Ultralight.otf	0	SF Compact Display	Ultralight	SF Compact Display Ultralight	SFCompactDisplay-Ultralight	SF Compact Display	Ultralight	Version 22.0d4e4	1.000	100	5	0		35135	0	0		0	227	73	220	liga,calt,smcp,c2sc,tnum,pnum,frac,sups,subs,case,locl,numr,dnom,ss01,ss02,ss03,ss05,ss06,ss07,ss12,ss13,ss14,ss15,ss16,ss17,cv01,cv02,cv03	kern	otf	CFF	6196152	no	Apple Inc.	Apple Inc.	APPL		
/Library/Fonts/SF-Compact-Italic.ttf	0	SF Compact	Black Italic	SF Compact	SFCompact-BlackItalic		Black Italic	Version 22.0d4e4	1.000	1000	5	1	opsz[19..19..19];wght[1..1000..1000]	34462	0	0		0	227	73	220	liga,calt,tnum,pnum,frac,sups,subs,case,locl,ss01,ss02,ss03,ss06,ss07,ss12,ss13,ss14,ss15,ss16,ss17,cv01,cv02,cv03	kern	ttf	glyf	18905496	no	Apple Inc.	Apple Inc.	APPL	http://www.apple.com/	
/Library/Fonts/SF-Compact-Rounded-Black.otf	0	SF Compact Rounded	Black	SF Compact Rounded Black	SFCompactRounded-Black	SF Compact Rounded	Black	Version 22.0d4e4	1.000	900	5	0		35130	0	0		0	225	73	220	liga,calt,smcp,c2sc,tnum,pnum,frac,sups,subs,case,locl,numr,dnom,ss01,ss02,ss03,ss05,ss06,ss07,ss12,ss13,ss14,ss15,ss16,ss17,cv01,cv02,cv03	kern	otf	CFF	6197876	no	Apple Inc.	Apple Inc.	APPL		
/Library/Fonts/SF-Compact-Rounded-Bold.otf	0	SF Compact Rounded	Bold	SF Compact Rounded Bold	SFCompactRounded-Bold	SF Compact Rounded	Bold	Version 22.0d4e4	1.000	700	5	0		35130	0	0		0	225	73	220	liga,calt,smcp,c2sc,tnum,pnum,frac,sups,subs,case,locl,numr,dnom,ss01,ss02,ss03,ss05,ss06,ss07,ss12,ss13,ss14,ss15,ss16,ss17,cv01,cv02,cv03	kern	otf	CFF	6380812	no	Apple Inc.	Apple Inc.	APPL		
/Library/Fonts/SF-Compact-Rounded-Heavy.otf	0	SF Compact Rounded	Heavy	SF Compact Rounded Heavy	SFCompactRounded-Heavy	SF Compact Rounded	Heavy	Version 22.0d4e4	1.000	800	5	0		35130	0	0		0	225	73	220	liga,calt,smcp,c2sc,tnum,pnum,frac,sups,subs,case,locl,numr,dnom,ss01,ss02,ss03,ss05,ss06,ss07,ss12,ss13,ss14,ss15,ss16,ss17,cv01,cv02,cv03	kern	otf	CFF	6332852	no	Apple Inc.	Apple Inc.	APPL		
/Library/Fonts/SF-Compact-Rounded-Light.otf	0	SF Compact Rounded	Light	SF Compact Rounded Light	SFCompactRounded-Light	SF Compact Rounded	Light	Version 22.0d4e4	1.000	300	5	0		35130	0	0		0	225	73	220	liga,calt,smcp,c2sc,tnum,pnum,frac,sups,subs,case,locl,numr,dnom,ss01,ss02,ss03,ss05,ss06,ss07,ss12,ss13,ss14,ss15,ss16,ss17,cv01,cv02,cv03	kern	otf	CFF	6353752	no	Apple Inc.	Apple Inc.	APPL		
/Library/Fonts/SF-Compact-Rounded-Medium.otf	0	SF Compact Rounded	Medium	SF Compact Rounded Medium	SFCompactRounded-Medium	SF Compact Rounded	Medium	Version 22.0d4e4	1.000	500	5	0		35130	0	0		0	225	73	220	liga,calt,smcp,c2sc,tnum,pnum,frac,sups,subs,case,locl,numr,dnom,ss01,ss02,ss03,ss05,ss06,ss07,ss12,ss13,ss14,ss15,ss16,ss17,cv01,cv02,cv03	kern	otf	CFF	6378868	no	Apple Inc.	Apple Inc.	APPL		
/Library/Fonts/SF-Compact-Rounded-Regular.otf	0	SF Compact Rounded	Regular	SF Compact Rounded Regular	SFCompactRounded-Regular	SF Compact Rounded	Regular	Version 22.0d4e4	1.000	400	5	0		35130	0	0		0	225	73	220	liga,calt,smcp,c2sc,tnum,pnum,frac,sups,subs,case,locl,numr,dnom,ss01,ss02,ss03,ss05,ss06,ss07,ss12,ss13,ss14,ss15,ss16,ss17,cv01,cv02,cv03	kern	otf	CFF	6331860	no	Apple Inc.	Apple Inc.	APPL		
/Library/Fonts/SF-Compact-Rounded-Semibold.otf	0	SF Compact Rounded	Semibold	SF Compact Rounded Semibold	SFCompactRounded-Semibold	SF Compact Rounded	Semibold	Version 22.0d4e4	1.000	600	5	0		35130	0	0		0	225	73	220	liga,calt,smcp,c2sc,tnum,pnum,frac,sups,subs,case,locl,numr,dnom,ss01,ss02,ss03,ss05,ss06,ss07,ss12,ss13,ss14,ss15,ss16,ss17,cv01,cv02,cv03	kern	otf	CFF	6386336	no	Apple Inc.	Apple Inc.	APPL		
/Library/Fonts/SF-Compact-Rounded-Thin.otf	0	SF Compact Rounded	Thin	SF Compact Rounded Thin	SFCompactRounded-Thin	SF Compact Rounded	Thin	Version 22.0d4e4	1.000	200	5	0		35130	0	0		0	225	73	220	liga,calt,smcp,c2sc,tnum,pnum,frac,sups,subs,case,locl,numr,dnom,ss01,ss02,ss03,ss05,ss06,ss07,ss12,ss13,ss14,ss15,ss16,ss17,cv01,cv02,cv03	kern	otf	CFF	6319660	no	Apple Inc.	Apple Inc.	APPL		
/Library/Fonts/SF-Compact-Rounded-Ultralight.otf	0	SF Compact Rounded	Ultralight	SF Compact Rounded Ultralight	SFCompactRounded-Ultralight	SF Compact Rounded	Ultralight	Version 22.0d4e4	1.000	100	5	0		35130	0	0		0	225	73	220	liga,calt,smcp,c2sc,tnum,pnum,frac,sups,subs,case,locl,numr,dnom,ss01,ss02,ss03,ss05,ss06,ss07,ss12,ss13,ss14,ss15,ss16,ss17,cv01,cv02,cv03	kern	otf	CFF	6243492	no	Apple Inc.	Apple Inc.	APPL		
/Library/Fonts/SF-Compact-Text-Black.otf	0	SF Compact Text	Black	SF Compact Text Black	SFCompactText-Black	SF Compact Text	Black	Version 22.0d4e4	1.000	900	5	0		35135	0	0		0	227	73	220	liga,calt,smcp,c2sc,tnum,pnum,frac,sups,subs,case,locl,numr,dnom,ss01,ss02,ss03,ss05,ss06,ss07,ss12,ss13,ss14,ss15,ss16,ss17,cv01,cv02,cv03	kern	otf	CFF	6174240	no	Apple Inc.	Apple Inc.	APPL		
/Library/Fonts/SF-Compact-Text-BlackItalic.otf	0	SF Compact Text	Black Italic	SF Compact Text Black Italic	SFCompactText-BlackItalic	SF Compact Text	Black Italic	Version 22.0d4e4	1.000	900	5	1		34438	0	0		0	227	73	220	liga,calt,tnum,pnum,frac,sups,subs,case,locl,ss01,ss02,ss03,ss06,ss07,ss12,ss13,ss14,ss15,ss16,ss17,cv01,cv02,cv03	kern	otf	CFF	6049948	no	Apple Inc.	Apple Inc.	APPL		
/Library/Fonts/SF-Compact-Text-Bold.otf	0	SF Compact Text	Bold	SF Compact Text Bold	SFCompactText-Bold	SF Compact Text	Bold	Version 22.0d4e4	1.000	700	5	0		35135	0	0		0	227	73	220	liga,calt,smcp,c2sc,tnum,pnum,frac,sups,subs,case,locl,numr,dnom,ss01,ss02,ss03,ss05,ss06,ss07,ss12,ss13,ss14,ss15,ss16,ss17,cv01,cv02,cv03	kern	otf	CFF	6332184	no	Apple Inc.	Apple Inc.	APPL		
/Library/Fonts/SF-Compact-Text-BoldItalic.otf	0	SF Compact Text	Bold Italic	SF Compact Text Bold Italic	SFCompactText-BoldItalic	SF Compact Text	Bold Italic	Version 22.0d4e4	1.000	700	5	1		34438	0	0		0	227	73	220	liga,calt,tnum,pnum,frac,sups,subs,case,locl,ss01,ss02,ss03,ss06,ss07,ss12,ss13,ss14,ss15,ss16,ss17,cv01,cv02,cv03	kern	otf	CFF	6233404	no	Apple Inc.	Apple Inc.	APPL		
/Library/Fonts/SF-Compact-Text-Heavy.otf	0	SF Compact Text	Heavy	SF Compact Text Heavy	SFCompactText-Heavy	SF Compact Text	Heavy	Version 22.0d4e4	1.000	900	5	0		35135	0	0		0	227	73	220	liga,calt,smcp,c2sc,tnum,pnum,frac,sups,subs,case,locl,numr,dnom,ss01,ss02,ss03,ss05,ss06,ss07,ss12,ss13,ss14,ss15,ss16,ss17,cv01,cv02,cv03	kern	otf	CFF	6290288	no	Apple Inc.	Apple Inc.	APPL		
/Library/Fonts/SF-Compact-Text-HeavyItalic.otf	0	SF Compact Text	Heavy Italic	SF Compact Text Heavy Italic	SFCompactText-HeavyItalic	SF Compact Text	Heavy Italic	Version 22.0d4e4	1.000	900	5	1		34438	0	0		0	227	73	220	liga,calt,tnum,pnum,frac,sups,subs,case,locl,ss01,ss02,ss03,ss06,ss07,ss12,ss13,ss14,ss15,ss16,ss17,cv01,cv02,cv03	kern	otf	CFF	6192912	no	Apple Inc.	Apple Inc.	APPL		
/Library/Fonts/SF-Compact-Text-Light.otf	0	SF Compact Text	Light	SF Compact Text Light	SFCompactText-Light	SF Compact Text	Light	Version 22.0d4e4	1.000	400	5	0		35135	0	0		0	227	73	220	liga,calt,smcp,c2sc,tnum,pnum,frac,sups,subs,case,locl,numr,dnom,ss01,ss02,ss03,ss05,ss06,ss07,ss12,ss13,ss14,ss15,ss16,ss17,cv01,cv02,cv03	kern	otf	CFF	6255596	no	Apple Inc.	Apple Inc.	APPL		
/Library/Fonts/SF-Compact-Text-LightItalic.otf	0	SF Compact Text	Light Italic	SF Compact Text Light Italic	SFCompactText-LightItalic	SF Compact Text	Light Italic	Version 22.0d4e4	1.000	400	5	1		34438	0	0		0	227	73	220	liga,calt,tnum,pnum,frac,sups,subs,case,locl,ss01,ss02,ss03,ss06,ss07,ss12,ss13,ss14,ss15,ss16,ss17,cv01,cv02,cv03	kern	otf	CFF	6163872	no	Apple Inc.	Apple Inc.	APPL		
